6M return,1Y return,2Y return,3Y return,5Y return,Predict,Month
34.2%,9.9%,17.5%,15.0%,9.0%,-1.2%,Jan-04
23.0%,6.9%,12.8%,14.6%,8.5%,1.0%,Feb-04
10.8%,12.7%,13.0%,14.2%,8.5%,3.8%,Mar-04
6.2%,14.0%,9.4%,13.3%,8.0%,6.0%,Apr-04
-4.4%,3.6%,6.1%,10.7%,8.0%,5.7%,May-04
-7.2%,7.3%,6.6%,12.0%,9.6%,5.1%,Jun-04
-4.8%,13.0%,9.5%,13.3%,10.6%,0.7%,Jul-04
2.6%,12.3%,11.0%,13.1%,10.7%,2.9%,Aug-04
4.3%,7.5%,9.9%,11.4%,10.1%,7.3%,Sep-04
18.0%,11.9%,12.1%,12.3%,7.3%,9.5%,Oct-04
30.5%,11.7%,13.5%,14.4%,9.3%,9.9%,Nov-04
18.6%,4.9%,10.3%,13.8%,9.6%,19.9%,Dec-04
2.5%,-1.2%,4.2%,10.9%,8.4%,31.4%,Jan-05
-0.6%,1.0%,3.9%,8.7%,7.2%,33.0%,Feb-05
3.3%,3.8%,8.2%,9.8%,8.7%,30.6%,Mar-05
-4.8%,6.0%,9.9%,8.2%,9.0%,46.2%,Apr-05
-14.4%,5.7%,4.6%,6.0%,8.7%,67.0%,May-05
-7.0%,5.1%,6.2%,6.1%,8.0%,46.3%,Jun-05
-1.0%,0.7%,6.7%,6.5%,7.9%,59.5%,Jul-05
6.6%,2.9%,7.5%,8.2%,8.8%,54.1%,Aug-05
11.4%,7.3%,7.4%,9.0%,9.8%,37.7%,Sep-05
26.0%,9.5%,10.7%,11.2%,11.0%,26.4%,Oct-05
41.1%,9.9%,10.8%,12.3%,11.9%,29.2%,Nov-05
54.5%,19.9%,12.2%,13.4%,12.9%,20.5%,Dec-05
74.3%,31.4%,13.9%,12.6%,14.6%,14.7%,Jan-06
65.9%,33.0%,15.9%,12.8%,15.1%,19.3%,Feb-06
53.2%,30.6%,16.4%,15.2%,15.1%,16.1%,Mar-06
69.6%,46.2%,24.5%,20.9%,17.7%,4.3%,Apr-06
97.6%,67.0%,32.8%,22.3%,19.1%,-11.1%,May-06
38.6%,46.3%,24.0%,18.2%,16.7%,-2.6%,Jun-06
45.9%,59.5%,26.7%,22.0%,18.5%,-8.7%,Jul-06
43.2%,54.1%,25.9%,21.2%,18.1%,-7.7%,Aug-06
