PE,6M return,1Y return,2Y return,3Y return,5Y return,Predict,Month
 19.96 ,132.9%,73.7%,29.7%,9.7%,13.4%,13.7%,4-Jan
 19.74 ,76.1%,69.3%,25.6%,10.0%,12.9%,16.8%,4-Feb
 20.70 ,56.3%,81.1%,25.2%,15.6%,10.4%,14.9%,4-Mar
 18.68 ,33.3%,92.3%,28.7%,16.9%,12.9%,5.9%,4-Apr
 11.94 ,-15.6%,47.4%,20.1%,8.3%,5.6%,40.7%,4-May
 12.64 ,-35.8%,32.8%,19.3%,10.8%,4.9%,47.5%,4-Jun
 13.63 ,-18.6%,37.6%,30.5%,15.0%,4.5%,41.7%,4-Jul
 13.64 ,-17.8%,20.3%,27.1%,15.7%,2.9%,46.1%,4-Aug
 14.59 ,-3.0%,23.2%,34.6%,24.1%,4.3%,49.0%,4-Sep
 14.93 ,-1.0%,14.8%,37.0%,22.5%,6.2%,32.7%,4-Oct
 16.39 ,74.3%,21.3%,36.6%,22.4%,7.3%,35.4%,4-Nov
 15.32 ,90.9%,10.7%,37.9%,25.2%,7.0%,36.3%,4-Dec
 14.68 ,58.9%,13.7%,40.5%,24.1%,5.9%,45.9%,5-Jan
 15.02 ,66.1%,16.8%,40.6%,22.6%,4.9%,46.2%,5-Feb
 14.60 ,36.0%,14.9%,44.3%,21.7%,5.9%,67.1%,5-Mar
 13.27 ,13.4%,5.9%,42.7%,20.6%,6.2%,87.0%,5-Apr
 13.94 ,13.6%,40.7%,44.0%,26.6%,8.6%,47.1%,5-May
 14.31 ,13.9%,47.5%,39.9%,28.0%,8.6%,40.9%,5-Jun
 14.10 ,26.3%,41.7%,39.6%,34.1%,11.6%,35.9%,5-Jul
 14.78 ,28.5%,46.1%,32.6%,33.1%,11.3%,43.2%,5-Aug
 16.15 ,63.3%,49.0%,35.5%,39.3%,15.4%,37.9%,5-Sep
 14.23 ,55.3%,32.7%,23.4%,35.6%,15.1%,57.9%,5-Oct
 15.95 ,61.4%,35.4%,28.1%,36.2%,15.9%,49.1%,5-Nov
